table,table_title,sequence,column_name,label,data_type,units,minimum,maximum,domain,allowed_values,description
cotaxfmmin,,1,taxminalogy,Mineralogy,Choice,,,,taxonomic_family_mineralogy,"allitic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | amorphic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | calcareous | carbonatic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | chloritic | clastic | coprogenous: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | diatomaceous: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | ferrihumic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | ferrihydritic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | ferritic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | ferruginous: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | gibbsitic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | glassy: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | glauconitic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | gypsic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | halloysitic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | hypergypsic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | illitic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | illitic (calcareous) | isotic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | kaolinitic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | magnesic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | marly: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | micaceous: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | micaceous (calcareous) | mixed: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | mixed (calcareous) | montmorillonitic | montmorillonitic (calcareous) | not used: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | oxidic | paramicaceous | parasesquic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | sepiolitic | serpentinitic | sesquic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | siliceous: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | siliceous (calcareous) | smectitic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | unclassified | vermiculitic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | vermiculitic (calcareous) | anhydritic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service",Mineralogy classes are used as family differentiae. They are based on the approximate mineralogical composition of selected size fractions of the same segment of the soil (control section) that is used for application of particle-size classes. (Soil Taxonomy)
cotaxfmmin,,2,cokey,Component Key,String,,,,,,The unique identifier of a record in the Component table. Use this column to join the Component Taxonomic Family Mineralogy table to the Component table.
cotaxfmmin,,3,cotaxfmminkey,Component Taxonomic Family Mineralogy Key,String,,,,,,A non-connotative string of characters used to uniquely identify a record in the Component Taxonomic Family Mineralogy table.
cotaxmoistcl,,1,taxmoistcl,Moisture Class,Choice,,,,taxonomic_moisture_class,"Aquic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | Aridic (torric): Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | Peraquic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | Perudic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | Udic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | Ustic: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | Xeric: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service","Soil moisture classes are unique to the family classification, though not included specifically in the name, this is a mechanism to provide clear identification of the actual moisture regime."
cotaxmoistcl,,2,cokey,Component Key,String,,,,,,The unique identifier of a record in the Component table. Use this column to join the Component Taxonomic Moisture Class table to the Component table.
cotaxmoistcl,,3,cotaxmckey,Component Taxonomic Family Moisture Class Key,String,,,,,,A non-connotative string of characters used to uniquely identify a record in the Component Taxonomic Moisture Class table.
cotext,,1,recdate,Date,Date/Time,,,,,,"The date associated with a particular record, expressed as month, day, year -- xx/xx/xxxx."
cotext,,2,comptextkind,Kind,Choice,,,,component_text_kind,"Edit notes: Text entries that describe what changes were made to the component object, exclusive of the horizon object, and why those changes were made. | Correlation notes: Text entries that document correlation concerns that affect this component. For example, notes about the comparison of this component to the official series for which it is named. | SOI5 description: The SOI-5 description converted from SSSD. | Miscellaneous notes: Text entries not related to any of the other choices. | Nontechnical description | Certification notes: Indicates records that contain notes related to certification of data objects. Typically, data elements certified in the object are listed in the text attached to this record.","A text entry is identified by its kind, category, and subcategory. Kind is the highest division of classification. Text kind provides a grouping of text entries according to their subject matter."
cotext,,3,textcat,Category,String,,,,,,"A text entry is identified by its kind, category, and subcategory. Category is a subdivision of kind. ""Agr"" and ""Soi"" are two categories for the text kind ""Nontechnical Description""."
cotext,,4,textsubcat,Subcategory,String,,,,,,"A text entry is identified by its kind, category, and subcategory. Subcategory is a subdivision of category. For text kind ""Nontechnical"" description and text category ""Agr"", subcategory would correspond to the SSSD field ""desnum""."
cotext,,5,text,Text,Vtext,,,,,,"The actual narrative text portion of a text entry. The other parts of a text entry are its identifiers: kind, category and subcategory."
cotext,,6,cokey,Component Key,String,,,,,,The unique identifier of a record in the Component table. Use this column to join the Component Text table to the Component table.
cotext,,7,cotextkey,Component Text Key,String,,,,,,A non-connotative string of characters used to uniquely identify a record in the Component Text table.
cotreestomng,,1,plantsym,Plant Symbol,String,,,,,,"A unique symbol used to identify a plant genus or a plant species. (The PLANTS Database, USDA-NRCS, National Plant Data Center.)"
cotreestomng,,2,plantsciname,Scientific Name,String,,,,,,"The full genus and species name as listed in the PLANTS Database, USDA-NRCS, National Plant Data Center."
cotreestomng,,3,plantcomname,Common Name,String,,,,,,"A generally accepted common name used for a plant in a geographic region, usually a state."
cotreestomng,,4,cokey,Component Key,String,,,,,,The unique identifier of a record in the Component table. Use this column to join the Component Trees To Manage table to the Component table.
cotreestomng,,5,cotreestomngkey,Component Trees to Manage Key,String,,,,,,A non-connotative string of characters used to uniquely identify a record in the Component Trees To Manage table.
cotxfmother,,1,taxfamother,Family Other,Choice,,,,taxonomic_family_other,"coated: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | cracked: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | level | micro: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | not used: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | ortstein: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | ortstein and shallow | shallow: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service | shallow and coated | shallow and uncoated | sloping | unclassified | uncoated: Reference: Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service","Soil characteristics other than the defined family characteristics of particle-size classes, mineralogy classes, cation-exchange activity classes, calcareous and reaction classes, and soil temperature classes."
